分類番号1	分類番号2	食品名カテ1	食品名カテ2	食品名カテ3	食品名カテ4	食品名カテ5	食品名カテ6	食品名カテ7	食品名カテ8	英語表記
69	4332					大正金時				"""Taishokintoki"" "
69	4333					大正白金時				"""Taisho-shirokintoki"" "
69	4334					福白金時				"""Fukushirokintoki"" "
69	4339					その他の金時				"Other ""Kintoki"" "
69	434				とら豆					"""Toramame"" "
69	435				白花豆					"""Shirohanamame"" "
69	436				大福					"""Ofuku"" "
69	439				その他のいんげん					Other kidney beans Peas 
69	44			えんどう						Peas  
69	441				青えんどう					Green peas 
69	442				赤えんどう					Red peas 
69	449				その他のえんどう					Other peas 
69	45			ささげ						Cowpeas (viyma sinensis) 
69	451				金時ささげ					"""Kintoki"" cowpeas "
69	459				その他のささげ					Other cowpeas 
69	46			そら豆						Broad beans 
69	461				大粒そら豆					Big grain broad beans 
69	4611					一寸そら豆				"""Issun"" broad beans "
69	4619					その他の大粒そら豆（おたふくを含む。）				"Other big grain broad beans (including ""otafuku"") "
69	462				小粒そら豆					Small grain broad beans 
69	47			緑豆						Mung beans 
69	471				緑色緑豆					Green mung beans 
69	472				白色緑豆					White mung beans 
69	479				その他の緑豆					Other mung beans 
69	48			落花生						Peanuts 
69	481				大粒落花生					Big grain peanuts 
69	4811					大粒落花生さやみ				Big grain peanuts in shell 
69	4812					大粒落花生むきみ				"Big grain peanuts, shelled "
69	482				小粒落花生					Small grain peanuts 
69	4821					小粒落花生さやみ				Small grain peanuts in shell 
69	4822					小粒落花生むきみ				"Small grain peanuts, "
69	489				その他の落花生					Other peanuts 
69	49			その他の豆類（ライマ及びはっしょう豆を含む。）						"Other pulses (including lima beans, “hasshomame"")... "
69	5		粉類（雑粉，豆粉，いも粉等を含む。）							"Flour (including cereal flour, pulse flour and sweet potato flour) "
69	51			米粉（白玉粉及びみじん粉を含む。）						"Rice flour (including ""shiratamako"", ""mijinko"") "
69	511				うるち米粉					Nonglutinous rice flour 
69	5111					上新粉				"""Joshinko"" "
69	5119					その他のうるち米粉				Other nonglutinous rice flour 
69	512				もち米粉					Glutinous rice flour. 
69	5121					白玉粉				"""Shiratamako"" "
69	5122					もち粉				"""Mochiko"" "
69	5123					寒梅粉				"""Kanbaiko"" "
69	5124					みじん粉				"'Mijinko"" "
69	5129					その他のもち米粉				Other glutinous rice flour 
69	52			小麦粉						Wheat flour 
69	521				強力小麦粉					Strong wheat flour 
69	522				準強力小麦粉					Mellower strong wheat flour 
69	523				薄力小麦粉					Weak wheat flour 
69	524				普通小麦粉					Filler wheat flour 
69	525				デュラムセモリナ					Durum wheat flour 
69	529				その他の小麦粉					Other wheat flour 
69	5291					特殊小麦粉				Clear wheat flour 
69	5299					他に分類されない小麦粉				"Wheat flour, n.e.c. "
69	53			雑穀粉						"Cereal flour, except rice flour and wheat flour "
69	531				とうもろこし粉					Corn flour 
69	5311					コーンブリッツ				Corn grits 
69	5312					コーンミール				Corn meal 
69	5313					コーンフラワー				Corn flour 
69	5319					その他のとうもろこし粉				Other corn flour 
69	532				そば粉					Buck wheat flour 
69	539				その他の雑穀粉					Other cereal flour 
69	54			豆粉						Pulse flour
69	541				大豆粉					 Soybean flour 
69	542				あずき粉					"""Azuki"" bean flour "
69	543				いんげん豆粉					Kidney bean flour 
69	549				その他の豆粉					Other pulse flour 
69	55			いも粉（かんしょ（甘薯）粉）						Sweet potato flour 
69	56			調整雑粉						Prepared flour 
69	561				プレミックス類					Pre-mixed flour 
69	5611					パン類ミックス				Pre-mixed flour for bread 
69	5612					ケーキ類ミックス				Pre-mixed flour for cake 
69	5613					調理用ミックス				Pre-mixed flour for cooking 
69	5619					その他のプレミックス類				Other pre-mixed flour 
69	569				その他の調整穀粉					Other prepared flour 
69	59			その他の粉類						Other flour 
69	591				こんにゃく粉					Ilisilis flour 
69	5911					こんにゃく荒粉				"Ilisilis flour, processed "
69	5912					こんにゃく精粉				"Ilisilis flour, unprocessed "
69	599				他に分類されない粉類					"Flour, n.e.c. "
69	6		でん粉							Starch 
69	61			小麦でん粉						Wheat starch 
69	62			とうもろこしでん粉						Corn starch 
69	63			甘しょでん粉						Sweet potato starch 
69	631				甘しょ生でん粉					Sweet potato starch (raw) 
69	632				甘しょ並でん粉					Sweet potato starch (common) 
69	633				甘しょさらしでん粉					Sweet potato starch (bleached) 
69	64			馬鈴しょでん粉						White potato starch 
69	641				馬鈴しょ生でん粉					White potato starch (raw) 
69	642				馬鈴しょ未粉でん粉					White potato starch (lump) 
69	643				馬鈴しょ精製でん粉					White potato starch (powder) 
69	644				馬鈴しょ二番粉でん粉					Low grade potato starch (lump) 
69	645				馬鈴しょ二番粉でん粉製粉					Low grade potato starch (powder) 
69	65			タピオカでん粉（マニオカでん粉及びキャッサバでん粉）						Tapioka starch 
69	66			サゴでん粉						Sago starch 
69	69			その他のでん粉						Other starch 
69	7		野菜							Vegetables 
69	71			根菜類						Root vegetables 
69	7101					だいこん				Japanese radishes 
69	71011						だいこん			"""Daikon"" "
69	71012						こうしんだいこん			"""Koushin-daikon' "
69	71013						あおながだいこん			"""Aonaga-daikon"" "
69	71014						べにまるだいこん			"""Benimaru-daikon "
69	71015						べにながだいこん			"""Beninaga-daikon"" "
69	7102					かぶ				Turnips 
69	7103					にんじん				Carrots 
69	71031						西洋にんじん			"""Seiyo-ningin"" "
69	71032						金時にんじん			"""Kintoki-ningin"" "
69	7104					ごぼう				Edible burdocks 
69	71041						ごぼう			"""Gobo"" "
69	71042						葉ごぼう			"""Ha-gobo"" "
69	7105					れんこん				Lotus roots 
69	7106					かんしょ				Sweet potatoes 
69	7107					馬鈴しょ				Potatoes (Irish potato) 
69	71071						メークイン			"""May queen"" "
69	71072						男爵			"'Danshaku"" "
69	71079						その他の馬鈴しょ			Other potatoes 
69	7108					さといも				Taros (Dasheen) 
69	71081						さといも			"""Sato-imo"" "
69	71082						セレベス			"""Serebes"" "
69	71083						京いも			"""Kyo-imo"" "
69	71084						やつがしら			"""Yathugashira""- "
69	71085						えびいも			"""Ebi-imo"" "
69	71086						えぐいも			"""Egu-imo"" "
69	71087						はすいも			"""Hasu-imo"" "
69	7111					やまのいも				Yams 
69	71111						ながいも			"""Naga-imo"" "
69	71112						やまといも			"""Yamato-imo"" "
69	71119						その他のやまのいも			Other yams 
69	7112					くわい				Arrowhead 
69	7199					その他の根菜類				Other root vegetables 
69	71991						ラディッシュ			Radishes 
69	71992						食用ゆり			"Lily bulbs, edible "
69	71993						ビーツ			Table beets 
69	71994						ちょろぎ			Chinese artichokes 
69	71995						セルリアク			Celeriacs 
69	71999						他に分類されない根菜類			"Root vegetables, n.e.c. "
69	72			葉茎菜類						Leaf and stem vegetables 
69	7201					はくさい				Chinese cabbagees 
69	72011						はくさい			"""Hakusai"" "
69	72012						たけのこはくさい			"""Takenoko-hakusai"" "
69	7202					たけのこ				Bamboo shoots 
69	7203					さんとうさい				"'Santosai"" "
69	7204					こまつな				"“Komatsuna"" "
69	7205					つけな類				"""Tsukena"" group "
69	72051						きょうな			"“Kyona"" "
69	72052						みぶな			"“Mibuna"" "
69	72053						のざわな			"""Nozawana"" "
69	72059						その他のつけな類			"Other ""Tsukena"" group "
69	7206					からしな類				Leaf mustard group 
69	72061						からしな			"“Karashina"" "
69	72062						たかな			"""Takana"" "
69	72069						その他のからしな類			Other leaf mustard group 
69	7207					キャベツ類				Cabbage group 
69	72071						キャベツ			Cabbage 
69	72072						グリーンボール			Green balls 
69	72073						レッドキャベツ			Red cabbage 
69	72074						芽キャベツ			Brussels sprouts 
69	7208					つまみな				"""Tusmamina"" "
69	7211					チンゲンサイ				"""Chingensai"" "
69	7212					ほうれんそう				Spinaches 
69	7213					ふき				Japanese butterburs 
69	72131						ふき			"""Fuki"" "
69	72132						つわぶき			"""Tsuwabuki"" "
69	72133						ふきのとう			"""Fuki-noto"" "
69	7214					うど				"""Udo"" "
69	7215					みつば				“Mitsuba” 
69	72151						根みつば			"""Ne-mitsuba "
69	72152						切みつば			"""Kiri-mitsuba"" "
69	72153						糸（青）みつば			“Ito (Ao)-mitsuba' 
69	7216					しゅんぎく				Garland chrysanthemums 
69	7217					せり				Water dropworts 
69	7218					セルリー				Celeries 
69	7221					アスパラガス				Asparaguses 
69	7222					カリフラワー				Cauliflowers 
69	7223					ブロッコリー				"Broccolies (Sprouting broccoli, Italian broccoli) "
69	7224					レタス類				Lettuce group 
69	72241						レタス			Head lettuce (crisphead type) 
69	72242						リーフレタス			Leaf lettuce 
69	72243						コスレタス			Cos lettuce 
69	72244						ステムレタス			Stem lettuce 
69	7225					サラダ菜				Head lettuce (butterhead type) 
69	7226					ねぎ				Welsh onions 
69	72261						白ねぎ			"""Shiro-negi' "
69	72262						青ねぎ			"“Ao-negi"" "
69	72263						こねぎ（めねぎを含む。）			"""Ko-negi (including ""Me-negi"") "
69	7227					わけぎ				Tufted stone leek 
69	7228					あさつき				Chives 
69	7231					にら				Chinese chives 
69	72311						にら			"""Nira"" "
69	72312						花にら			"""Hana-nira"" "
69	72313						黄にら			"""Ki-nira"": "
69	7232					たまねぎ				Onions. 
69	72321						たまねぎ			"""Tamanegi"" "
69	72322						アーリーレッド			"“Early red"" "
69	72323						ペコロス			"""Picolos"" "
69	7233					にんにく				Garlics 
69	72331						にんにく			"“Ninniku"" "
69	72332						葉にんにく			“Ha-ninniku 
69	72333						にんにくの芽			"""Ninniku-no-me' "
69	7234					らっきょう				"""Rakkyo"" "
69	72341						らっきょう			"""Rakkyo"" "
69	72342						エシャレット			"""Esharot"" "
69	7235					もやし				"“Moyashi"", bean sprouts "
69	72351						大豆もやし			"""Daizu-moyashi"" "
69	72359						その他のもやし			Other bean sprouts 
69	7299					その他の葉茎菜類				Other leaf and stem vegetables 
69	729901							なばな		"""Nabana "
69	729902							タアサイ		"""Taasai"". "
69	729903							パクチョイ		"""Paku choi"" "
69	729904							つるむらさき		Malabar nightshades (Malabar spinach) 
69	729905							エンダイブ		Endive (Escarole) 
69	729906							チコリー		Chicories 
69	729907							おかひじき		Saltwort 
69	729908							コンサイタイ		"""Kosaitai"" "
69	729911							サイシン		"""Saisin"" "
69	729912							あしたば		"Asitaba"" "
69	729913							エンサイ		Water convolvulus 
69	729914							カイラン		"""Kairan"" "
69	729915							キンサイ		"""Kinsai"" "
69	729916							コウサイ		"""Kosai"" "
69	729917							コールラビ		Kohlrabi 
69	729918							食用なずな		Shepherd's purse 
69	729921							じゅんさい		Water shield 
69	729922							セリホン		"""Serihon"" "
69	729923							ひゆな		Edible amaranthus 
69	729924							フェンネル		Fennels 
69	729925							ふだんそう		Chards (Swiss chard) 
69	729926							まこも		Indian rice (Water rice) 
69	729927							モロヘイヤ		Jew's mallows 
69	729928							ルバーブ		Rubarbs 
69	729931							リーキ		Leeks 
69	72999						他に分類されない葉茎菜類			"Leaf and stem vegetables, n.e.c. "
69	73			果菜類						Fruit vegetables 
69	7301					きゅうり				Cucumbers 
69	73011						きゅうり			"""Kyuri"" "
69	73012						もろきゅうり			"“Moro-kyuri"" "
69	73013						花まるきゅうり			"“Hanamaru-kyuri"" "
69	7302					しろうり				Oriental pickling melons 
69	7303					かぼちゃ				Pumpkins 
69	73031						かぼちゃ			Pumpkins 
69	73032						ズッキーニ			Zucchini 
69	7304					なす				Egg plants 
69	73041						なす			"""Nasu"" "
69	73042						小なす			"""Ko-nasu "
69	73043						べいなす			"""Bei-nasu"" "
69	7305					トマト				Tomatoes 
69	73051						トマト			Tomatoes 
69	73052						ミニトマト			Mini-tomatoes 
69	7306					ピーマン				Bell peppers 
69	7307					ししとうがらし				Sweet peppers 
69	7308					スイートコーン				Sweet corns 
69	7311					さやいんげん				Kidney beans (green pod) 
69	7312					さやえんどう				Peas (green pod) 
69	7313					スナップえんどう				Snap garden peas 
69	7314					グリーンピース				Green peas 
69	7315					そらまめ				Broad beans (green) 
69	7316					えだまめ				Soybeans (green) 
69	7399					その他の果菜類				Other fruit vegetables
69	73991						オクラ			Okra 
69	73992						とうがん			Wax gourd 
69	73993						にがうり			Balsam pear 
69	73994						はやとうり			Chayote 
69	73995						へびうり			Snake gourd 
69	73996						ひし			Water caltrops 
69	73999						他に分類されない果菜類			"Fruit vegetables, n.e.c. "
69	74			香辛野菜およびつまもの類						Savory herbs and garnishes 
69	7401					わさび				"""Wasabi"" "
69	7402					しょうが				Gingers 
69	74021						根しょうが			"""Ne-shoga"" "
69	74022						葉しょうが			"""Ha-shoga"" "
69	7403					とうがらし				Peppers (Red pepper) 
69	7404					め類				"""Me"" group "
69	74041						きのめ			"""Kino-me"" "
69	74042						紅たで			"""Benitade"" "
69	74049						その他のめ類			"Other “Me"" group "
69	7405					しそ				Perillas 
69	74051						おおば			"""Ooba"" "
69	74052						ほじそ			"""Hojiso"" "
69	74059						その他のしそ			Other perillas 
69	7406					かいわれだいこん				"""Kaiwaredaikon "" "
69	7407					みょうが				"""Myoga"" (Japanese ginger) "
69	74071						花みょうが			"“Hana-myoga"" "
69	74072						みょうがたけ			"""Myoga-take"" "
69	7408					クレソン				Watercress 
69	7411					パセリ				Parsley 
69	7412					うめ				"""Ume"" (Japanese apricot) "
69	74121						うめ			"""Ume"" "
69	74122						こうめ			"""Ko-ume"" "
69	7413					ゆず類				"""Yuzu"" group "
69	74131						ゆず			"""Yuzu"" "
69	74132						だいだい			"""Daidai' "
69	74133						すだち			"“Sudachi"" "
69	74134						ゆこう			"""Yuko"" "
69	74135						かぼす			"""Kabosu"" "
69	7499					その他の香辛野菜及びつまもの類				Other savory herbs and garnishes 
69	74991						はまぼうふう			"""Hamabofu"" "
69	74992						食用ぎく			Edible chrysanthemums 
69	74999						他に分類されない香辛野菜及びつまもの類			"Savory herbs and garnishes, n.e.c. "
69	75			カット野菜						Cut vegetables 
69	751				ごぼう					Edible burdock 
69	752				にんじん					Carrots 
69	753				キャベツ					Cabbage 
69	754				レタス					Lettuce 
69	759				その他のカット野菜					Other cut vegetables 
69	76			きのこ類						Mashrooms group 
69	761				生しいたけ					"""Shiitake"" mashrooms "
69	762				まつたけ					"""Matsutake"" mashrooms "
69	763				なめこ					"""Nameko"" mashrooms "
69	764				えのきたけ					"""Enokitake"" mashrooms "
69	765				ひらたけ					"“Hiratake"" mashrooms "
69	766				しろたもぎたけ					"“Shirotamogitake"" mashrooms "
69	769				その他のきのこ類					Other mashrooms group 
69	7691					しめじ				"“Shimeji"" mashrooms "
69	7692					マッシュルーム				French mashrooms 
69	7693					ひらたけ				"""Hiratake"" mashrooms "
69	7694					きくらげ				Jew's ear 
69	7695					まいたけ				"""Maitake"" mashrooms "
69	7699					他に分類されないきのこ類				"Mashrooms, n.e.c. "
69	77			山菜類						"“Sansai"" group. "
69	771				わらび					Brakes 
69	772				ぜんまい					Ostrich ferris 
69	779				その他の山菜類					"Other ""sansai"" group "
69	7791					山ごぼう				"""Yamagobo"" "
69	7799					他に分類されない山菜類				"“Sansai"" group, n.e.c. "
69	78			果実的野菜						Fruity vegetables 
69	781				いちご					Strawberries 
69	7811					女峰				"""Nyoho"" "
69	7812					とよの香				"""Toyonoka"" "
69	7813					ダナー				Donner 
69	7814					麗紅				"""Reiko"" "
69	7819					その他のいちご				Other strawberries. 
69	782				温室メロン					Melons (greenhouse melon) 
69	7821					アールス				Earles 
69	7822					ハネデュー				Honey dew 
69	7829					その他の温室メロン				Other melons (greenhouse melon) 
69	783				露地メロン（ハウスメロンを含む。）					Melon (except greenhouse melon) 
69	7831					アンデス				"""Andes"" "
69	7832					アムス				"""Ams"" "
69	7833					夕張キング				"""Yubariking"" "
69	7834					プリンス				"""Prince"": "
69	7835					パパイヤ				"""Papaiya"" "
69	7839					その他の露地メロン				Other melons (except greenhouse melon) 
69	784				すいか					Water melons 
69	7841					すいか				"""Suika"" "
69	7842					小玉すいか				"“Kodamasuika"" "
69	789				他に分類されない果実的野菜					"Fruity vegetables, n.e.c.. "
69	79			その他の野菜						Other vegetables 
69	8		果実							Fruits 
69	81			かんきつ類						Citrus fruits 
69	811				うんしゅうみかん					Satsuma mandarins 
69	8111					普通うんしゅう				Common satsuma 
69	8112					早生うんしゅう				Early satsuma 
69	812				中晩かん					"""Chubankan"" "
69	8121					普通なつみかん				"""Natsudaidai"" (common) "
69	8122					甘なつみかん				"""Natsudaidai"" (sweeter) "
69	8123					はっさく				"""Hassaku"" "
69	8124					いよかん				"""Iyokan"" "
69	8125					ネーブルオレンジ				Navel oranges 
69	8126					バレンシアオレンジ				Valencia oranges 
69	813				その他の中晩かん					"Other ""chubankan' "
69	8131					ポンカン				"""Ponkan"" mandarins "
69	8132					清見				“Kiyomi* 
69	8133					セミノール				"""Seminole"" "
69	8134					ぶんたん				"""Buntan"" "
69	8135					さんぼうかん				"""Sanbokan"" "
69	8136					なるとかん				"""Narutokan"" "
69	8137					日向夏				"""Hyuganatsu"" "
69	8138					たんかん				"""Tankan"" "
69	814				グレープフルーツ					Grape fruits 
69	815				レモン					Lemons 
69	816				きんかん					Kumquat 
69	819				他に分類されないかんきつ類					"Citrus fruits, n.e.c. "
69	82			仁果類（かんきつ類を除く。）						Kernel fruits (except citrus fruits) 
69	821				りんご					Apples 
69	82101						祝			American summer pearmain 
69	82102						つがる			"""Tsugaru"" "
69	82103						王林			"""Orin"" "
69	82104						ゴールデンデリシャス			Golden delicious 
69	82105						スターキングデリシャス			Starking delicious 
69	82106						デリシャス			Delicious 
69	82107						紅玉			Jonathan 
69	82108						国光			"""Kokko"" (ralls janet) "
69	82111						ジョナゴールド			"""Jonagold"" "
69	82112						ふじ			"""Fuji"" "
69	82113						陸奥			"""Mutsu"" "
69	82114						世界一			"""Sekaiichi"" "
69	82199						その他のりんご			Other apples 
69	822				日本なし					Japanese pears 
69	8221					長十郎				"""Chojuro"" "
69	8222					幸水				"""Kosui"" "
69	8223					新水				"""Shinsui"" "
69	8224					豊水				"""Hosui"" "
69	8225					廿十世紀				"""Nijuseiki"" "
69	8226					新世紀				"""Shinseiki"" "
69	8229					その他の日本なし（支那なしを含む。）				Other Japanese pears (including chinese pears) 
69	823				西洋なし					Pear (Pyrus communis L.) 
69	824				かき					"Japanese persimmons (""kaki"") "
69	8241					富有				"""Fuyu"" "
69	8242					次郎				"""Jiro"" "
69	8243					西村早生				"""Nishimurawase"" "
69	8244					平無核				"""Hiratanenashi"" "
69	8249					その他のかき				Other Japanese persimmons 
69	825				びわ					Loquats 
69	8251					茂木				"""Mogi"" "
69	8252					田中				"""Tanaka"" "
69	8259					その他のびわ				Other loquats 
69	829				その他の仁果類					Other kernel fruits (except citrus fruits).. 
69	8291					ざくろ				Pomegranates 
69	8292					まるめろ				Quinces 
69	8293					かりん				Chinese quinces 
69	8299					他に分類されない仁果類				"Kernel fruits (except citrus fruits), n.e.c. "
69	83			核果類						Stone fruits 
69	831				もも					Peaches 
69	8311					砂子早生				"""Sunakowase"" "
69	8312					倉方早生				"""Kurakatawase"" "
69	8313					大久保				"'Ookubo"" "
69	8314					白鳳				"""Hakuho"" "
69	8315					白桃				"""Hakuto"" "
69	8316					缶桃種				Canning peaches 
69	8319					その他のもも				Other peaches 
69	832				ネクタリン					Nectarines 
69	833				すもも					Plums 
69	834				おうとう					Cherries 
69	835				うめ（６９７４１２）					Japanese apricots 
69	839				その他の核果類					Other stone fruits 
69	8391					あんず				Apricots 
69	8392					なつめ				Jujubes 
69	8399					他に分類されない核果類				"Stone fruits, n.e.c. "
69	84			しょう果類（いちごを除く。）						Berries (except strawberries) 
69	841				ぶどう					Grapes 
69	8411					デラウエア				Delaware 
69	8412					キャンベルアーリー				Cambell early 
69	8413					ネオマスカット				Neo-muscat 
69	8414					マスカットベリーＡ				Muscat bailey A 
69	8415					甲州				"""Koshu"" "
69	8416					巨峰				"""Kyoho"" "
69	8417					マスカットオブアレキサンドリア				Muscat of Alexandria 
69	8418					甲斐路				"""Kaiji"" "
69	8419					その他のぶどう				Other grapes 
69	849				その他のしょう果類（いちごを除く。）					Other berries (except strawberries) 
69	8491					いちじく				Figs 
69	8492					すぐり類				Gooseberries 
69	8499					他に分類されないしょう果類				"Berries (except strawberries), n.e.c. "
69	85			穀果類						Edible nuts 
69	851				くり					Chestnuts 
69	859				その他の穀果類					Other edible nuts 
69	8591					くるみ				Walnuts 
69	8592					ぎんなん				Gingko nuts 
69	8593					アーモンド				Almonds 
69	8594					カシューナッツ				Cashewnuts 
69	8595					ピスタチオナット				Pistachios 
69	8599					他に分類されない穀果類				"Edible nuts, n.e.c. "
69	86			熱帯性及び亜熱帯性果実（別掲を除く。）						Tropical and sub-tropical fruits (except otherwise classified) 
69	861				パインアップル					Pineapples 
69	862				バナナ					Bananas 
69	863				パパイヤ					Papayas 
69	864				ポポー					Pawpaws 
69	865				ライチー					Litchis 
69	866				キウイフルーツ					Chinese gooseberries 
69	867				マンゴー					Mangoes 
69	868				アボカード					Avocados 
69	869				その他の熱帯性及び亜熱帯性果実（別掲を除く。）					Other tropical and sub-tropical fruits (except otherwise classified) 
69	89			その他の果実						Other fruits 
69	9		その他の農産食品							"Other agricultural products, edible "
69	91			糖料作物						Sugar crops 
69	911				砂糖きび					Sugar canes 
69	912				てんさい					Sugar beets 
69	913				砂糖もろこし					Sweet sorgham 
69	919				その他の糖料作物					Other sugar crops 
69	92			こんにゃくいも						Elephant roots 
69	93			未加工飲料作物						"Beverage crops, unprocessed "
69	931				茶の葉					Tea leaves 
69	9311					栽培茶の葉				Cultivated tea leaves 
69	93111						被覆したもの			Snade tea leaves 
